car name,brand,year,mileage (km),location,transmission,plate type,rear camera,sun roof,auto retract mirror,electric parking brake,map navigator,vehicle stability control,keyless push start,sports mode,360 camera view,power sliding door,auto cruise control,price (Rp),instalment (Rp|Monthly),image_url
RUSH S TRD SPORTIVO 1.5,Toyota,2018,30.977,Jakarta Timur,Automatic,odd plate,0,0,1,0,0,1,0,0,0,0,0,212000000,4320000,https://upload.wikimedia.org/wikipedia/commons/4/40/2016_Toyota_Rush_1.5_S_TRD_Sportivo_Ultimo_wagon_%28F700RE%3B_01-25-2019%29%2C_South_Tangerang.jpg
FORTUNER VRZ GR SPORT 2.8,Toyota,2022,15.713,Jakarta Timur,Automatic,odd plate,0,0,1,0,0,0,0,0,0,0,0,542000000,11040000,https://kreditkerenbanget.com/imagecache/original/GmP871705825717891xhrYO.webp
KIJANG INNOVA REBORN V 2.0,Toyota,2019,65.076,Jakarta Pusat,Automatic,even plate,1,0,1,0,0,0,0,0,0,0,0,315000000,6420000,https://blog-media.lifepal.co.id/app/uploads/sites/3/2021/09/03153322/kijang-innova-reborn-768x480.jpg
MOBILIO E 1.5,Honda,2014,91.739,Jakarta Barat,Automatic,even plate,0,0,0,0,0,0,0,1,0,0,0,132000000,2690000,https://imgcdn.oto.com/large/gallery/exterior/14/98/honda-mobilio-front-angle-low-view-192461.jpg
KIJANG INNOVA G 2.0,Toyota,2014,139.609,Jakarta Timur,Automatic,even plate,0,0,0,0,0,0,0,0,0,0,0,180000000,3670000,https://www.static-src.com/wcsstore/Indraprastha/images/catalog/full//catalog-image/96/MTA-144107591/toyota_toyota_full04.jpg
XPANDER ULTIMATE 1.5,Mitsubishi,2019,71.11,Jakarta Utara,Automatic,odd plate,0,0,1,0,0,0,0,0,0,0,1,222000000,4520000,https://assets.mitsubishi-motors.co.id/compress/products/colors/1642135848-ultimate-white-at-2x-minpng.webp
TERIOS X DLX 1.5,Daihatsu,2020,38.952,Jakarta Timur,Automatic,odd plate,1,0,0,0,0,0,0,0,0,0,0,204000000,4160000,https://www.mtf.co.id/media/image/thumbs/kendaraan/car/20180531/car20180531-daihatsu_new20t-730-530_thumb_c.jpg
BRIO SATYA E 1.2,Honda,2018,40.661,Jakarta Utara,Automatic,odd plate,0,0,0,0,0,0,0,1,0,0,0,146000000,2970000,https://www.hondamitra.com/media/products/2024-01/Brio_-_Electric_Lime_Metallic_CKQIXi8.png
XPANDER ULTIMATE 1.5,Mitsubishi,2018,65.729,Jakarta Selatan,Automatic,even plate,0,0,1,0,0,1,0,0,0,0,0,215000000,4380000,https://assets.mitsubishi-motors.co.id/compress/products/colors/1642135848-ultimate-white-at-2x-minpng.webp
XPANDER EXCEED 1.5,Mitsubishi,2019,64.707,Jakarta Pusat,Automatic,even plate,0,0,1,0,0,0,0,0,0,0,0,206000000,4200000,https://images.tokopedia.net/img/cache/700/VqbcmM/2021/12/13/ef6b7fd3-7bc5-47ef-839f-4bb51352f76b.jpg
AGYA G TRD 1.2,Toyota,2018,44.496,Jakarta Pusat,Automatic,odd plate,0,0,0,0,0,0,0,0,0,0,0,132000000,2690000,"https://imgx.gridoto.com/crop/85x97:1109x609/700x465/filters:watermark(file/2017/gridoto/img/watermark_otomotifnet.png,5,5,60)/photo/2020/05/03/2001940669.jpeg"
SERENA HIGHWAY STAR 2.0,Nissan,2019,31.62,Jakarta Timur,Automatic,even plate,0,0,1,0,0,0,1,0,0,0,0,326000000,6640000,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTYeZg_Mu28J5nCDUgIYj5LTYDo8tQRy1alAg&s
XENIA R DLX 1.3,Daihatsu,2014,48.788,Jakarta Timur,Manual,odd plate,0,0,0,0,0,0,0,0,0,0,0,124000000,2530000,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcS9AtxBQwyZVAVBdZelnUfSeoduVVoaUhc0DQ&s
MOBILIO E 1.5,Honda,2015,112.025,Jakarta Barat,Automatic,even plate,1,0,1,0,0,0,0,0,0,0,0,141000000,2870000,https://imgcdn.oto.com/large/gallery/exterior/14/98/honda-mobilio-front-angle-low-view-192461.jpg
BRIO SATYA E 1.2,Honda,2020,28.648,Jakarta Utara,Automatic,odd plate,0,0,0,0,0,0,0,0,0,0,0,166000000,3380000,https://www.hondamitra.com/media/products/2024-01/Brio_-_Electric_Lime_Metallic_CKQIXi8.png
PAJERO SPORT DAKAR 4X2 2.4,Mitsubishi,2018,60.88,Jakarta Utara,Automatic,even plate,0,0,1,0,0,0,1,0,0,0,0,429000000,8740000,https://images.tokopedia.net/img/cache/700/VqbcmM/2023/2/23/1b80cb97-ec5e-4d52-85ae-b4072313fc6c.png
TERIOS R DLX 1.5,Daihatsu,2020,68.981,Jakarta Timur,Automatic,odd plate,0,0,1,0,0,0,0,0,1,0,0,217000000,4420000,https://www.mocil.id/uploads/vehicle/J1KKy8AtJxhdIHv7k5C2fZNaTAdSA3X2M5e2Olla.jpg
BRIO SATYA E 1.2,Honda,2018,43.996,Jakarta Selatan,Automatic,odd plate,1,0,0,0,0,0,0,1,0,0,0,144000000,2930000,https://www.hondamitra.com/media/products/2024-01/Brio_-_Electric_Lime_Metallic_CKQIXi8.png
AVANZA E 1.3,Toyota,2020,52.8,Jakarta Barat,Automatic,odd plate,0,0,0,0,0,0,0,0,0,0,0,172000000,3500000,https://imgcdn.oto.com/large/gallery/exterior/38/1654/toyota-avanza-front-angle-low-view-844132.jpg
FORTUNER VRZ 4X2 2.4,Toyota,2017,51.475,Jakarta Barat,Automatic,even plate,0,0,1,0,0,0,0,0,0,0,0,390000000,7950000,https://images.autofun.co.id/file1/1558a8055879406eb933185507ddae57_1125x630.jpg
KIJANG INNOVA REBORN G 2.0,Toyota,2017,46.01,Jakarta Selatan,Automatic,even plate,0,0,0,0,0,0,0,0,0,0,0,261000000,5320000,https://cdn.quicksell.co/-MTiWg9rwTFoT2TP9MYc/products/-N2KNCukCGXc3RtK5bkA.jpg
CX-5 HIGH 2.5,Mazda,2014,81.916,Jakarta Utara,Automatic,even plate,1,1,0,0,0,0,0,0,0,0,0,200000000,4080000,https://img.cintamobil.com/resize/600x-/2023/08/01/20230801234408-30d8.png
LIVINA VL 1.5,Nissan,2019,71.142,Jakarta Timur,Automatic,even plate,1,0,0,0,0,0,1,0,0,0,0,179000000,3650000,https://www.static-src.com/wcsstore/Indraprastha/images/catalog/full//102/MTA-22288557/nissan_nissan_full06.jpg
HR-V E 1.5,Honda,2016,93.048,Jakarta Selatan,Automatic,odd plate,0,0,0,1,0,0,0,0,0,0,0,195000000,3970000,https://www.hondamitra.com/media/products/2018-11/crystal_balck_pearl_b2gp56b.jpg
TERIOS R 1.5,Daihatsu,2018,93.935,Jakarta Pusat,Automatic,odd plate,0,0,0,0,0,1,1,0,0,0,0,187000000,3810000,https://images.tokopedia.net/img/cache/700/product-1/2019/12/13/36690692/36690692_8db2fb4a-c72e-46ae-9253-b7c14c4ad30c_700_700
KIJANG INNOVA REBORN G 2.0,Toyota,2017,63.309,Jakarta Pusat,Manual,even plate,0,0,0,0,0,0,0,1,0,0,0,236000000,4810000,https://cdn.quicksell.co/-MTiWg9rwTFoT2TP9MYc/products/-N2KNCukCGXc3RtK5bkA.jpg
LIVINA VL 1.5,Nissan,2019,51.618,Jakarta Timur,Automatic,even plate,0,0,1,0,0,0,1,0,0,0,0,206000000,4200000,https://www.static-src.com/wcsstore/Indraprastha/images/catalog/full//102/MTA-22288557/nissan_nissan_full06.jpg
MOBILIO RS 1.5,Honda,2018,36.06,Jakarta Utara,Automatic,even plate,0,0,1,0,0,0,0,1,0,0,0,173000000,3520000,https://imgcdn.oto.com/large/gallery/exterior/14/98/honda-mobilio-front-angle-low-view-192461.jpg
RUSH S TRD SPORTIVO 1.5,Toyota,2018,60.929,Jakarta Timur,Manual,even plate,0,0,1,0,0,0,1,0,0,0,0,198000000,4030000,https://imgcdn.oto.com/large/gallery/exterior/38/1900/toyota-rush-front-angle-low-view-732737.jpg
HR-V SE 1.5,Honda,2019,59.647,Jakarta Timur,Automatic,odd plate,0,0,1,1,0,0,0,0,0,0,0,258000000,5260000,https://imgcdn.oto.com/medium/gallery/exterior/14/2435/honda-hr-v-2022-70128.jpg
BRIO SATYA E 1.2,Honda,2018,71.172,Jakarta Utara,Automatic,odd plate,0,0,0,0,0,0,0,1,0,0,0,136000000,2770000,https://www.hondamitra.com/media/products/2024-01/Brio_-_Electric_Lime_Metallic_CKQIXi8.png
RUSH S 1.5,Toyota,2014,74.334,Jakarta Utara,Manual,odd plate,0,0,1,0,0,0,0,0,0,0,0,150000000,3060000,https://imgcdn.oto.com/large/gallery/exterior/38/1900/toyota-rush-front-angle-low-view-732737.jpg
AGYA G TRD 1.2,Toyota,2019,16.097,Jakarta Utara,Manual,even plate,0,0,0,0,0,0,0,0,0,0,0,122000000,2490000,"https://imgx.gridoto.com/crop/85x97:1109x609/700x465/filters:watermark(file/2017/gridoto/img/watermark_otomotifnet.png,5,5,60)/photo/2020/05/03/2001940669.jpeg"
FORTUNER G TRD 2.5,Toyota,2014,89.433,Jakarta Pusat,Automatic,odd plate,1,0,1,0,0,0,0,0,0,0,0,282000000,5750000,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQoDaKHwSElSNv6CQpzCgwx9x3FKs9QSAzm4g&s
HR-V S 1.5,Honda,2017,70.953,Jakarta Timur,Automatic,even plate,0,0,1,0,0,1,0,0,0,0,0,197000000,4010000,https://www.hondamitra.com/media/products/2018-11/Dark_Olive_Metallic_1.5L_uS7A7IV.jpg
CALYA G 1.2,Toyota,2019,71.766,Jakarta Utara,Manual,even plate,0,0,0,0,0,0,0,0,0,0,0,126000000,2570000,https://www.static-src.com/wcsstore/Indraprastha/images/catalog/full//catalog-image/103/MTA-138609192/toyota_toyota_full08.jpg
SX4 S-CROSS 1.5,Suzuki,2019,35.009,Jakarta Barat,Automatic,odd plate,0,0,1,0,0,0,0,0,0,0,0,192000000,3910000,https://www.static-src.com/wcsstore/Indraprastha/images/catalog/full//101/MTA-7474835/suzuki_suzuki_new_sx4_s-cross_1-5_mobil_full05_epf29d5v.jpg
KARIMUN GS 1.0,Suzuki,2017,93.534,Jakarta Barat,Manual,odd plate,0,0,0,0,0,0,0,0,0,0,0,92000000,1870000,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRl-8fjzKeZ3yp0OnXZSFRiHvJO0GzgDlhfVQ&s
TERIOS TX 1.5,Daihatsu,2014,101.93,Jakarta Timur,Manual,even plate,1,0,1,0,0,0,0,0,0,0,0,141000000,2870000,https://imgcdn.oto.com/large/gallery/exterior/7/1669/daihatsu-terios-front-angle-low-view-455545.jpg
SIGRA X 1.2,Daihatsu,2020,38.327,Jakarta Selatan,Automatic,even plate,0,0,0,0,0,0,0,0,0,0,0,131000000,2670000,https://imgcdn.oto.com/large/gallery/exterior/7/2234/daihatsu-sigra-front-angle-low-view-282430.jpg
ALMAZ LT LUX 1.5,Wuling,2019,53.501,Jakarta Barat,Automatic,odd plate,0,0,1,0,0,0,0,0,1,0,0,203000000,4139999,https://autofame.net/uploads/img/product/wuling-almaz-15-lt-lux-exclusive-cvt-at-5-seater-2019-fullspec-panoramic-sunroof-black-on-black-gress-like-new-4755.jpg
ERTIGA SPORT GT 1.5,Suzuki,2019,96.327,Jakarta Utara,Automatic,odd plate,0,0,1,0,0,1,0,0,0,0,0,192000000,3910000,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRNKeaefpm0Htbe7jwzynnW4pRPuW7awGQO0g&s
BRIO SATYA E 1.2,Honda,2021,49.424,Jakarta Barat,Automatic,even plate,0,0,0,0,0,0,0,1,0,0,0,164000000,3340000,https://img5.icarcdn.com/3091497/gallery_new-car-mobil123-honda-brio-satya-e-hatchback-indonesia_000003091497_0c044e00_b623_4b91_87fd_ee021c7bcebd.jpg?smia=xTM
IGNIS GX 1.2,Suzuki,2019,64.346,Jakarta Pusat,Automatic,even plate,0,0,1,0,0,0,0,1,0,0,0,141000000,2870000,https://www.mocil.id/uploads/vehicle/DrQZaSRCzgv9ayFGh5AqSpFUunjZJw5rNqRrabYs.jpg
HR-V E 1.5,Honda,2017,61.785,Jakarta Utara,Automatic,odd plate,0,0,1,0,0,0,0,0,0,0,0,219000000,4460000,https://www.static-src.com/wcsstore/Indraprastha/images/catalog/full//102/MTA-58404944/honda_honda_hrv_1-5_e_at_2017_silver_full01_jraj8n5f.jpg
CALYA G 1.2,Toyota,2019,54.702,Jakarta Utara,Manual,odd plate,0,0,0,0,0,0,0,0,0,0,0,122000000,2490000,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTOOxqmT5cSg3-pq9-iQUkGmJRVfnUdGLDkeg&s
YARIS S TRD 1.5,Toyota,2018,68.648,Jakarta Selatan,Manual,even plate,0,0,1,0,0,1,0,0,0,0,0,183000000,3730000,https://imgcdn.oto.com/medium/gallery/exterior/38/1924/toyota-yaris-17583.jpg
XPANDER ULTIMATE 1.5,Mitsubishi,2017,59.729,Jakarta Barat,Automatic,even plate,0,0,1,0,0,1,0,0,0,0,0,207000000,4220000,https://www.mocil.id/diamondsmartauto/uploads/vehicle/iIEgAo6cQ1c4kkii3Zjb9M9tSFV35CHJOgWRzaZZ.jpeg
MOBILIO E 1.5,Honda,2018,51.833,Jakarta Utara,Automatic,even plate,1,0,0,0,0,0,0,1,0,0,0,164000000,3340000,https://cdn.quicksell.co/-MTiWg9rwTFoT2TP9MYc/products/-N29T73Oti8FAefi0lLs.jpg
HR-V E 1.5,Honda,2019,39.444,Jakarta Utara,Automatic,even plate,0,0,1,0,0,0,0,0,0,0,0,265000000,5400000,https://img2.icarcdn.com/4643307/gallery_used-car-mobil123-honda-hr-v-e-suv-indonesia_4643307_j5ESo7Osovs07eH1xGqqfq.jpg?smia=xTM
RUSH S TRD SPORTIVO 1.5,Toyota,2020,9.823,Jakarta Barat,Manual,odd plate,0,0,1,0,0,0,0,0,0,0,0,234000000,4770000,https://mocil.id/uploads/vehicle/size-md-thumb-350--ItJp7p6yCR8Da9OPBsaDRLGqSFwez6FoI57ZvlfO.jpg
ERTIGA DREZA 1.4,Suzuki,2017,28.515,Jakarta Barat,Manual,odd plate,0,0,1,0,0,0,0,0,0,0,0,151000000,3080000,https://imgcdn.oto.com/medium/gallery/exterior/37/332/suzuki-ertiga-53732.jpg
RUSH S GR SPORT 1.5,Toyota,2021,34.441,Jakarta Selatan,Automatic,even plate,0,0,1,0,0,1,0,0,0,0,0,242000000,4930000,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQTGAeDMmiDXZB1fvvHx-PH-5h_FvkBZPvh3A&s
BRIO SATYA E 1.2,Honda,2018,50.958,Jakarta Barat,Manual,even plate,0,0,0,0,0,0,0,0,0,0,0,126000000,2570000,https://cdn.quicksell.co/-MTiWg9rwTFoT2TP9MYc/products/-N29R5DJ2NKzvX-kT_Bq.jpg
BRIO RS 1.2,Honda,2019,48.518,Jakarta Timur,Automatic,odd plate,0,0,1,0,0,0,0,1,0,0,0,178000000,3630000,https://www.static-src.com/wcsstore/Indraprastha/images/catalog/full//96/MTA-7521297/honda_honda_brio_rs_1-2_mt_full03_hiabr052.jpg
HR-V E 1.5,Honda,2017,73.73,Jakarta Selatan,Automatic,even plate,0,0,1,0,0,0,0,0,0,0,0,219000000,4460000,https://www.mocil.id/uploads/vehicle/4Qh3sjq0YFupPSY65RVZZ43PBaPEDa6WjtTUKGww.jpg
AGYA G TRD 1.2,Toyota,2018,45.947,Jakarta Timur,Automatic,even plate,0,0,0,0,0,0,0,0,0,0,0,127000000,2590000,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQo_7v2D18kDKskUGDpaQzYeWK26PTSp64kWw&s
RUSH S TRD SPORTIVO 1.5,Toyota,2018,34.555,Jakarta Timur,Automatic,odd plate,0,0,1,0,0,1,0,0,0,0,0,214000000,4360000,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQngxC6KTYxFP7lIQY7nV3Nt5eWXaBF3y8yZA&s
XPANDER ULTIMATE 1.5,Mitsubishi,2018,80.976,Jakarta Selatan,Automatic,even plate,0,0,1,0,0,0,0,0,0,0,1,213000000,4340000,https://www.mocil.id/diamondsmartauto/uploads/vehicle/lzgpR4hSL7QEplZ8CPiTUZ1ULNnu06gjdKEB8jrj.jpeg
ROCKY X 1.2,Daihatsu,2021,40.066,Jakarta Barat,Automatic,odd plate,0,0,1,0,0,1,0,0,0,0,0,191000000,3890000,https://imgcdn.oto.com/medium/gallery/exterior/7/2366/daihatsu-rocky-99265.jpg
SIRION M602RS 1.3,Daihatsu,2017,86.506,Jakarta Barat,Automatic,odd plate,0,0,0,0,0,0,0,0,0,0,0,124000000,2530000,https://img.cintamobil.com/resize/600x-/2023/11/03/20231103143755-a72d.png
SIRION M602RS 1.3,Daihatsu,2012,87.631,Jakarta Utara,Automatic,odd plate,0,0,0,0,0,0,0,0,0,0,0,88000000,1790000,https://img.cintamobil.com/crop/350x195/2023/08/23/20230823214754-055a.png
HR-V E 1.5,Honda,2019,58.95,Jakarta Timur,Automatic,even plate,0,0,1,1,0,0,0,0,0,0,0,264000000,5380000,"https://imgx.gridoto.com/crop/0x0:5447x3598/700x465/filters:watermark(file/2017/gridoto/img/watermark.png,5,5,60)/photo/2018/12/20/49296503.jpg"
XENIA R STD 1.3,Daihatsu,2019,33.937,Jakarta Barat,Manual,odd plate,1,0,1,0,0,0,0,0,0,0,0,168000000,3420000,https://images.autofun.co.id/file1/eeda7a72f6944d05b470ef020298d514_1125x630.jpg
SIENTA Q 1.5,Toyota,2017,58.365,Jakarta Pusat,Automatic,even plate,0,0,1,0,0,0,0,0,0,1,0,187000000,3810000,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTY1lyUR-VzG_Blm8I9waWA8Addig_Zw-8W1w&s
CALYA G 1.2,Toyota,2019,53.807,Jakarta Utara,Manual,odd plate,0,0,0,0,0,0,0,0,0,0,0,121000000,2470000,https://images.tokopedia.net/img/cache/700/OJWluG/2022/7/28/779300b2-4d4e-4505-9668-a2cc05664577.jpg
BRIO SATYA S 1.2,Honda,2016,28.625,Jakarta Timur,Manual,odd plate,0,0,0,0,0,0,0,0,0,0,0,112000000,2280000,https://imgcdn.oto.com/large/gallery/exterior/14/1995/honda-brio-front-angle-low-view-700459.jpg
2 GT SKYACTIV 1.5,Mazda,2015,66.182,Jakarta Barat,Automatic,even plate,1,0,0,0,1,0,0,0,0,0,0,181000000,3690000,https://mazdadealerbandung.com/wp-content/uploads/2019/03/Mazda2-gt.jpg
XPANDER ULTIMATE 1.5,Mitsubishi,2018,63.203,Jakarta Pusat,Automatic,even plate,0,0,1,0,0,1,0,0,0,0,0,210000000,4280000,https://assets.mitsubishi-motors.co.id/compress/products/colors/1642135848-ultimate-white-at-2x-minpng.webp
COLT L300 PICK UP 2.5,Mitsubishi,2022,1.065,Jakarta Utara,Manual,odd plate,0,0,0,0,0,0,0,0,0,0,0,177000000,3610000,https://cdn.quicksell.co/-MTiWg9rwTFoT2TP9MYc/products/-MiogPeIA2WuQefQVlSt.jpg
SX4 S-CROSS 1.5,Suzuki,2016,76.606,Jakarta Selatan,Automatic,even plate,0,0,1,0,0,0,1,0,0,0,0,160000000,3260000,https://www.static-src.com/wcsstore/Indraprastha/images/catalog/full//101/MTA-7474835/suzuki_suzuki_new_sx4_s-cross_1-5_mobil_full05_epf29d5v.jpg
AVANZA G 1.3,Toyota,2018,24.873,Jakarta Barat,Automatic,even plate,0,0,0,0,0,0,0,0,0,0,0,160000000,3260000,https://imgcdn.oto.com/large/gallery/exterior/38/1654/toyota-avanza-front-angle-low-view-844132.jpg
SIGRA M 1.0,Daihatsu,2019,18.826,Jakarta Utara,Manual,even plate,0,0,0,0,0,0,0,0,0,0,0,109000000,2220000,https://img.cintamobil.com/2019/09/18/KM1pHMws/daihatsu-sigra-2019-4-5c4e.jpeg
SIGRA R 1.2,Daihatsu,2022,8.817,Jakarta Pusat,Manual,even plate,1,0,0,0,0,0,0,0,0,0,0,136000000,2770000,https://imgcdn.oto.com/large/gallery/exterior/7/2234/daihatsu-sigra-front-angle-low-view-282430.jpg
BRIO SATYA E 1.2,Honda,2016,97.829,Jakarta Pusat,Manual,odd plate,0,0,0,0,0,0,0,0,0,0,0,118000000,2400000,https://img2.icarcdn.com/1719307/gallery_used-car-mobil123-honda-brio-satya-e-hatchback-indonesia_1719307_WTmyyVckUpQEMOWFKkr9a1.jpg?smia=xTM
BRIO SATYA E 1.2,Honda,2018,61.043,Jakarta Utara,Automatic,odd plate,0,0,0,0,0,0,0,1,0,0,0,142000000,2890000,https://img4.icarcdn.com/6668277/gallery_used-car-carmudi-honda-brio-satya-e-hatchback-indonesia_000006668277_4829e0c7_13c4_48b9_a543_84935bbef257.jpg?smia=xTM
2 R 1.5,Mazda,2019,37.929,Jakarta Utara,Automatic,even plate,0,0,1,0,0,0,0,0,0,0,1,220000000,4480000,https://carshow.id/storage/uploads/products/20220419_110428_625e34cc93a79.jpg
AGYA G TRD SPORTIVO 1.2,Toyota,2021,39.599,Jakarta Barat,Automatic,even plate,0,0,1,0,0,0,1,0,0,0,0,147000000,3000000,https://www.static-src.com/wcsstore/Indraprastha/images/catalog/full//115/MTA-48928489/toyota_toyota_agya_1-2_g_trd_at_2020_hitam_full01_f3f2gkgv.jpg
X-TRAIL 2.0,Nissan,2016,62.427,Jakarta Barat,Automatic,odd plate,0,0,1,0,0,0,1,0,0,0,0,199000000,4050000,https://imgcdn.oto.com/large/gallery/exterior/29/233/nissan-x-trail-front-angle-low-view-365973.jpg
CR-V TURBO PRESTIGE 1.5,Honda,2018,84.641,Jakarta Selatan,Automatic,odd plate,0,1,0,0,0,0,0,0,0,0,0,382000000,7780000,https://www.honda-jambi.com/image-product/img9-1627396962.jpeg
3 20I (CKD) 2.0,BMW,2019,47.554,Jakarta Selatan,Automatic,even plate,0,0,0,0,1,0,0,1,0,0,0,446000000,9090000,https://img.cintamobil.com/resize/600x-/2023/04/18/20230418121055-9945.jpg
MARCH 1.5,Nissan,2015,37.414,Jakarta Utara,Manual,even plate,0,0,1,0,0,0,1,0,0,0,0,113000000,2300000,"https://imgx.gridoto.com/crop/0x624:853x1077/700x500/filters:watermark(file/2017/gridoto/img/watermark_otoseken.png,5,5,60)/photo/2021/01/25/3989476884.jpeg"
IGNIS GX 1.2,Suzuki,2019,20.613,Jakarta Utara,Automatic,odd plate,1,0,0,0,0,0,0,0,0,0,0,145000000,2950000,https://www.static-src.com/wcsstore/Indraprastha/images/catalog/full/catalog-image/MTA-144971390/suzuki_suzuki_new_ignis_1-2_gx_two_tone_mobil_-paket_dp_spesial-_full01_dldtclb7.jpg
SIGRA R STD 1.2,Daihatsu,2019,40.938,Jakarta Barat,Manual,even plate,0,0,0,0,0,0,0,0,0,0,0,122000000,2490000,https://imgcdn.oto.com/large/gallery/exterior/7/2234/daihatsu-sigra-front-angle-low-view-282430.jpg
MARCH 1.2,Nissan,2016,72.14,Jakarta Barat,Manual,odd plate,0,0,0,0,0,0,0,0,0,0,0,101000000,2060000,https://imgcdn.oto.com/large/gallery/exterior/29/1675/nissan-march-front-angle-low-view-218592.jpg
BRIO E 1.3,Honda,2012,88.614,Jakarta Pusat,Manual,odd plate,0,0,0,0,0,0,0,0,0,0,0,102000000,2080000,https://cdn.quicksell.co/-N3Ez7LYMB96CwVGXWn2/products/-NY3lduFaSfmlv2wmL4H.jpg
XPANDER ULTIMATE 1.5,Mitsubishi,2019,51.777,Jakarta Barat,Automatic,even plate,0,0,1,0,0,0,0,0,0,0,1,222000000,4520000,https://assets.mitsubishi-motors.co.id/compress/products/colors/1642135848-ultimate-white-at-2x-minpng.webp
MOBILIO E 1.5,Honda,2017,93.915,Jakarta Utara,Automatic,even plate,1,0,0,0,0,0,0,1,0,0,0,159000000,3240000,https://imgcdn.oto.com/large/gallery/exterior/14/98/honda-mobilio-front-angle-low-view-192461.jpg
SIENTA Q 1.5,Toyota,2017,66.91,Jakarta Timur,Automatic,odd plate,0,0,1,0,0,0,0,0,0,1,0,191000000,3890000,https://imgcdn.oto.com/large/gallery/exterior/38/1316/toyota-sienta-front-angle-low-view-433415.jpg
XL7 ZETA GL 1.5,Suzuki,2020,35.449,Jakarta Utara,Automatic,odd plate,1,0,0,0,0,0,0,0,0,0,0,192000000,3910000,https://imgcdn.oto.com/medium/gallery/exterior/37/2220/suzuki-xl7-12009.jpg
RUSH S TRD SPORTIVO 1.5,Toyota,2018,81.269,Jakarta Selatan,Automatic,even plate,0,0,1,0,0,1,0,0,0,0,0,210000000,4280000,https://imgcdn.oto.com/large/gallery/exterior/38/1900/toyota-rush-front-angle-low-view-732737.jpg
IGNIS GX 1.2,Suzuki,2017,81.783,Jakarta Utara,Automatic,odd plate,0,0,1,0,0,0,1,0,0,0,0,131000000,2670000,https://www.static-src.com/wcsstore/Indraprastha/images/catalog/full/catalog-image/MTA-144971390/suzuki_suzuki_new_ignis_1-2_gx_two_tone_mobil_-paket_dp_spesial-_full01_dldtclb7.jpg
XL7 ALPHA 1.5,Suzuki,2020,52.96,Jakarta Timur,Automatic,even plate,0,0,1,0,0,0,1,0,0,0,0,218000000,4440000,https://www.static-src.com/wcsstore/Indraprastha/images/catalog/full//105/MTA-35979007/suzuki_suzuki_xl7_alpha_1-5_mobil_-paket_tdp_-_full01_nlbd1jmm.jpg
LIVINA VL 1.5,Nissan,2019,39.145,Jakarta Timur,Automatic,odd plate,0,0,1,0,0,1,0,0,0,0,0,202000000,4120000,https://imgcdn.oto.com/medium/gallery/exterior/29/2051/nissan-livina-31642.jpg
AGYA G TRD 1.2,Toyota,2019,26.474,Jakarta Utara,Automatic,odd plate,0,0,0,0,0,0,0,0,0,0,0,136000000,2770000,"https://imgx.gridoto.com/crop/85x97:1109x609/700x465/filters:watermark(file/2017/gridoto/img/watermark_otomotifnet.png,5,5,60)/photo/2020/05/03/2001940669.jpeg"
CALYA G 1.2,Toyota,2017,34.349,Jakarta Utara,Manual,even plate,0,0,0,0,0,0,0,0,0,0,0,116000000,2360000,https://imgcdn.oto.com/medium/gallery/exterior/38/2233/toyota-calya-62910.jpg